CountryInd,,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,ROW,OUT
industryInd,,A01,A03,B05a,B05b,B05c,B07,B09,C10T12,C13T15,C16,C17,C19,C20,C21,C22,C23,C24a,C24b,C25,C26,C27,C28,C29,C30,C31T33,D01a,D01b,D01c,D01d,D01e,E,F,Fixed Capital Formation,G,Government Consumption,H49,H50,H51,H52,H53,Household Consumption,I,J58T60,J61,J62,K,L,M,N,O,P,Q,R_S,A01,A03,B05a,B05b,B05c,B07,B09,C10T12,C13T15,C16,C17,C19,C20,C21,C22,C23,C24a,C24b,C25,C26,C27,C28,C29,C30,C31T33,D01a,D01b,D01c,D01d,D01e,E,F,Fixed Capital Formation,G,Government Consumption,H49,H50,H51,H52,H53,Household Consumption,I,J58T60,J61,J62,K,L,M,N,O,P,Q,R_S,OUT
CountryInd,industryInd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,C13T15,43230900,8745300,2531866.91954482,3611237.52770834,1918095.55274685,3310700,2492400,25965400,252487300,5276300,33751800,2723300,21887500,2079200,62666000,8396500,4526697.49544049,35002.5045595061,6692500,1777500,1379300,8864100,93858600,3322100,138633300,592480,592480,592480,592480,592480,4300300,353354600,111531600,40373300,1919600,5617100,798300,1131500,5467300,712100,3118704400,54469400,8318100,3645900,3728100,12961900,5991400,30533100,9313600,75909700,37859100,114347000,53442300,4546100,748700,458633.333333333,458633.333333333,458633.333333333,538800,390700,6111500,113202400,2934600,18781400,1892400,4558500,1519500,12257400,2691100,1318250,1318250,2909500,2171500,1162500,7424400,36362200,5578400,24801100,155900,155900,155900,155900,155900,867200,16158100,64092600,34572400,859000,1679200,1333100,348500,752400,519300,395413400,10661900,1398400,1654700,1024200,943700,1985100,3634500,3813300,17367300,3532900,17351200,9831100,5642723100
CAN,C16,120690700,3415500,11622561.529343,18829905.51417,7170432.95648699,15458600,9903100,107071800,17719900,2489665700,1823214500,19242400,26015200,7866500,63287500,46978900,24814820.4088898,191879.591110247,40299100,4731600,3749100,28765600,34053200,26184600,889416200,5370880,5370880,5370880,5370880,5370880,10530200,8426035000,330801100,207155500,816600,49045500,3425600,17267000,9680600,8061000,643967400,23370100,11486100,12888100,15471200,77721700,36157600,47558800,39534300,99135800,18459000,62231000,30780600,32297000,5357100,13250100,13250100,13250100,6946100,10522600,41555400,9767400,1584821900,352560200,4586100,27758200,3983700,81943300,48238100,18773200,18773200,74122200,18686100,21466000,84914200,181802500,26453200,626975400,1779760,1779760,1779760,1779760,1779760,4252200,2920180300,594136500,269487500,1062100,97172800,1355200,3944500,30544300,6124800,722195400,81065000,16878400,40697900,71862200,13377200,256525900,48988700,80922000,75580400,121360900,79898900,44854400,24962213200
CAN,C17,164017600,16267200,30629209.5536077,46549005.6617429,36886784.7846495,25714100,19799400,1272027500,31104700,77497800,3151774800,30345600,145686700,59428600,134385600,91384000,28052882.2273722,216917.772627803,84723800,41010100,37801500,82186600,44625400,38860400,162184400,7605240,7605240,7605240,7605240,7605240,29653700,556861600,914078200,1761038900,1228600,57324400,7302100,15855200,82426500,55432200,3391350300,194524000,862786500,336684500,170084100,784563900,146901300,720182200,276355500,471925800,566876900,689340800,714111600,47293200,1321300,5172433.33333333,5172433.33333333,5172433.33333333,12412700,7897000,1121541300,80145900,41204600,3459809500,9780500,326952100,110684400,230932600,168075300,51086600,51086600,134142200,99287600,111875900,143938200,126379800,34555300,189772500,6064720,6064720,6064720,6064720,6064720,20716700,152000300,469227500,745869100,6263500,94771600,7836200,10988800,119030000,63125100,2228510800,229077100,299765100,44987100,74405100,176915600,86873100,449569300,279121100,431089800,343422500,348765300,108289200,32094711500
CAN,C19,2488240200,126983900,649675309.788113,655722068.846864,82999721.3666719,858859200,745094000,274151300,21648600,213115000,194524600,2491686900,1152588400,49394500,168304200,186228900,133052405.18372,220120494.81628,97857200,14140700,17690800,57223000,54006800,47304400,407409100,75685460,75685460,75685460,75685460,75685460,380519600,5210046600,525302600,3039425800,2183500,6298490900,581761200,2909150900,313392700,407503400,14111240500,323751100,118729800,227465700,98903900,851678500,871026000,532607600,1424118200,1630458400,1031845300,1308084000,771084800,217915600,7573000,70344133.3333333,70344133.3333333,70344133.3333333,63920800,72635100,64558800,18446200,19449800,80981200,813590100,428988500,27113000,83660400,109807100,38206200,38206200,28530400,10462200,31576300,40180400,18363800,9103300,25502700,88879060,88879060,88879060,88879060,88879060,34099700,483848700,556407500,185386700,1164100,1044769500,115148800,624424200,89885200,132660400,4943822900,63372500,10939800,10518900,18560300,166502900,84266800,69357400,117162300,1213155500,433231800,111681400,63660500,68233446600.0017
CAN,C20,2351463000,15358600,57222773.7587282,246185712.945178,111129313.296094,364510300,98164700,308542100,204775400,256232200,778939600,408950400,4964610900,687390800,2487213200,223377800,368101282.156113,192044517.843887,210298800,33906600,107049600,146602600,378742400,58938900,230971100,29069680,29069680,29069680,29069680,29069680,27036500,1499322300,406978600,576076000,9302300,223065900,16074000,71668200,90345300,32713100,4159810100,106355100,123632500,70533100,87291100,287281900,146834000,363830600,404185000,405955000,219283400,666051000,400154200,897608600,3424100,66451833.3333333,66451833.3333333,66451833.3333333,83456400,47625700,219192200,296827100,66508700,377653200,349240500,3615366900,375918500,1311824700,157796500,54351500,54351500,197255400,116840900,116970200,114021400,187424100,39759400,177672300,15538180,15538180,15538180,15538180,15538180,40206400,393761800,630241000,173314700,7730400,47486400,4389600,17164100,33042200,8353100,2367288200,35390500,35117100,16408700,26204400,26825500,175435400,228653800,151386800,450508200,114168700,246403400,111902000,40309368800
CAN,C21,30834500,2781000,9444235.91630955,8624329.35297044,1148834.73076868,6989900,4215200,39025100,2910800,6134900,12491900,6108900,36220200,412243000,20439100,7480600,6289477.00059495,3114822.99940506,9714500,3438200,2050000,8868200,12029500,5360700,16968100,1546180,1546180,1546180,1546180,1546180,5615000,92047600,243105000,52434400,1139568700,7058700,660800,1981800,3479300,1105300,2685785800,14502000,8797000,6591000,6163800,33033000,15033300,23066000,13550700,1778249500,23351300,759949200,28682900,29210900,1078300,1155866.66666667,1155866.66666667,1155866.66666667,1267800,679300,16358600,3540300,1664100,4365900,4303100,34677700,318407800,10766000,2081600,1940200,1940200,3500000,4848200,2153700,4641800,5249600,2027000,6213200,427800,427800,427800,427800,427800,1342100,14404300,132214000,19940700,290735700,1509200,299200,976300,1061900,386900,1927148700,2923700,1564100,1911200,2075600,2980300,2889500,27077600,4278000,28773100,4796800,442003700,8564300,11012847800.0001
CAN,C22,634352800,34707900,57262597.9085063,98864917.4087184,54234784.6827752,106687400,57733400,809534800,101534400,190269300,410642900,100009200,250528200,68250800,1595720100,167565700,185304143.237406,1432856.762594,273360700,83726300,39766800,168321800,1771037100,67675900,394618500,16547120,16547120,16547120,16547120,16547120,15108700,3762790400,406228100,738421100,3725900,266868500,8297100,20393300,244494300,61846700,2305391400,150895600,31529900,22170700,37349800,139661200,64781200,154684800,104217500,276465500,67781600,168090600,241558100,53275300,1616200,10770100,10770100,10770100,28900900,32612200,464546200,31247000,22447200,122849400,12443000,269765400,90681600,476859200,39827300,28186150,28186150,111893900,73362800,70186400,216117000,701110600,81883600,263894400,1090580,1090580,1090580,1090580,1090580,15035500,819299800,416266700,551452700,3162200,51891400,1356400,4642500,27344300,85093600,1495016500,128967800,60172600,75059400,30077900,19493900,25940400,132304600,101833900,233887100,45401000,245307100,45958600,24973251900
CAN,C23,38844500,2999900,15587277.0135434,73897975.6223178,5689647.36444717,108730200,214742400,178870800,5419200,81260400,64342000,43443600,102462700,12294700,137275800,2815917500,110183080.873829,214101719.126171,173611000,12003700,45857700,74390700,912444300,155680700,67080400,3022000,3022000,3022000,3022000,3022000,6798600,9371575900,244971600,136998000,2546800,13711000,662700,2438700,8209200,2489400,1718352500,73958300,15772400,16325700,19221900,96958500,46893900,76446900,52441200,94292600,28513500,91066200,34672200,9011900,382700,5424800,5424800,5424800,12410800,8924200,48870400,3506700,7653200,12389200,9027200,36084500,9814300,20510200,130314400,35473200,35473200,23060000,10546500,17528600,27429200,58123500,6223200,13996600,993100,993100,993100,993100,993100,3205100,678871400,92026700,29778000,1639900,3242000,471500,717300,3347800,865800,215553200,18230700,5444400,18401300,8857700,8111100,7855600,31387700,19479000,49138200,7690800,40171800,10994800,19651035000.0003
CAN,C24a,228854549.763621,2602180.3494093,34944469.5606732,704409946.316511,3.49591227502806E-09,102195991.184454,524587250.376195,6512681.86540705,5484449.47061431,47397500.7415708,790223.133694225,3755250.76354679,3183668.71295026,9506551.64713072,154035314.050025,996793.703150389,4037538966.72733,32357152.8713706,3542667666.11969,50325890.0482193,5907130.15355204,1919580323.08664,1485964936.39159,312361694.262712,282813541.760481,27450.444661888,27450.4582383144,27450.4577269872,27450.4592586412,27450.4590828928,1654915.33006182,1946460572.01321,150285748.846386,1078733.67452283,56531.5678271638,23322471.5665786,1253959.63432661,1366118.77464619,17902692.4773701,4104739.56276799,241294384.308494,118296.533639782,10029433.0402399,7994956.72494191,9166781.25586169,35364833.8930238,9758136.92653281,34436810.6563014,35787110.7229347,460874.523346894,15384675.0372883,1017633.65129855,472747.472988263,596701.60500724,13653.4789291014,1259337.12140763,1259337.9686731,1259329.29144732,37030658.3932305,487332.263186846,636419000.081642,47230978.6808935,372973.421292862,1140444.81158896,30804592.0461903,478008207.873846,37288067.0548753,2078037.84813962,805827.172617203,41518519.279372,41518528.7760416,47307126.0404588,6671243.72985082,21168602.1707472,22758829.8705532,22576672.4790785,7653112.77911275,9733508.53791307,100964.60702177,100961.002225944,100967.483137557,100968.799769378,100968.564112575,97306776.1708646,1072431869.1309,1004619897.10436,4537412.78798531,559573.19395511,701632.058545389,44294.4926158057,31753.6240785043,765429.58705741,1431926.79204611,152784452.651731,21747624.8530856,456340162.378376,720585.978702332,299451.522641677,116030.164473541,1137512.72086492,1031228.26192917,467328.071929798,140159506.319289,204630.744855551,683841.222825933,508907.53002793,20503781814.1296
CAN,C24b,30512850.2363764,1469019.65059069,42353914.3063151,1914342.35399947,0.182481018120055,77372108.8155447,4056349.62379721,24796918.1345882,11545950.5293857,366499.258424543,102195576.866312,24743349.2364505,411727831.28706,37024848.3528692,107360785.949974,128910306.296852,32357152.8916266,4331636027.50969,27393533.8803008,15810409.9517807,763939369.846448,14843076.9133449,11490163.6083667,197581605.737287,286120358.239518,14859052.1690586,1066554.00943245,1586019.14286705,29988.4703229734,208533.929357121,1526684.66993807,15050927.9864341,203020960.472326,139507266.32575,76368.4732942212,11610928.4334177,2766440.36567337,3512681.22535356,17315307.5226293,611860.437231903,325964491.210419,15298703.4663918,10786566.9597593,4394743.27505647,7179918.74413693,36330666.1069605,23094963.0734472,35485789.3436926,32515889.2770615,59602625.4768162,32504924.9627058,131605466.348826,61138052.5271078,77167798.4025086,1765846.5217665,486073615.904231,1259339.9571417,1259339.76224829,286341.604081525,63024367.7376795,4921099.90963963,365221.313064515,48235126.5799855,147488855.191575,238207.946342735,3696192.11853143,288332.941896456,268743162.155477,104214672.831379,41518531.2351174,10697246320.7154,6117993273.96435,862760056.276395,2737629797.83349,2943286470.13563,2919729127.52766,989739187.22336,1258786591.46567,19050658.9497396,33605555.5776108,7437915.8200182,2121819.99194324,3073319.20833357,752423.826688777,45044330.86845,1357140633.66189,586802887.219821,755927.213081625,90740367.9480664,5728805.50890884,4107046.37776474,98990170.4166269,11073.2071403569,206396458.484552,168175.1395223,3528637.61762395,93191114.0262156,38727948.4823884,15007669.8432302,147110887.286871,133365671.745723,60438871.9347647,1083793.67195632,26465669.2621942,88439758.7847794,65816192.7678786,40788995386.1632
