,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Refinery Fuel Gas,Service,CIMS,,Refinery Fuel Gas,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0.0512597525604,0.05236665162665,0.05463325460039,0.0592387774457,0.05513328633901,0.05513328633901,0.05513328633901,0.05513328633901,0.05513328633901,0.05513328633901,0.05513328633901,
CIMS.Generic Fuels.Refinery Fuel Gas,Service,CIMS,,Refinery Fuel Gas,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0.0000009368071,0.00000088691796,0.00000088968958,0.00000085920177,0.00000085920177,0.00000085920177,0.00000085920177,0.00000085920177,0.00000085920177,0.00000085920177,0.00000085920177,
CIMS.Generic Fuels.Refinery Fuel Gas,Service,CIMS,,Refinery Fuel Gas,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0.00000000055432,0.00000000055432,0.00000000055432,0.00000000055432,0.00000000055432,0.00000000055432,0.00000000055432,0.00000000055432,0.00000000055432,0.00000000055432,0.00000000055432,
CIMS.Generic Fuels.Renewable Diesel,Service,CIMS,,Renewable Diesel,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.Generic Fuels.Renewable Diesel,Service,CIMS,,Renewable Diesel,,Competition type,Supply - Fixed Price,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Renewable Diesel,Service,CIMS,,Renewable Diesel,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.Generic Fuels.Renewable Diesel,Service,CIMS,,Renewable Diesel,,LCC_financial,,,,JCIMS,$/GJ,50.8253659210541,50.8253659210541,53.3182563929071,53.1475461322098,52.8930069278285,52.8930069278285,52.8930069278285,52.8930069278285,52.8930069278285,52.8930069278285,52.8930069278285,TODO: Fix these to formulas
CIMS.Generic Fuels.Renewable Diesel,Service,CIMS,,Renewable Diesel,,Emissions_biomass,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.Generic Fuels.Renewable Diesel,Service,CIMS,,Renewable Diesel,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.Generic Fuels.Renewable Diesel,Service,CIMS,,Renewable Diesel,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0.00000343847612,0.00000347259104,0.00000347258945,0.00000347258939,0.00000347259136,0.00000347259136,0.00000347259136,0.00000347259136,0.00000347259136,0.00000347259136,0.00000347259136,
